pru
Integration time [ms]:   0,150
Averaging Nr. [scans]: 10
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: 7416147SP
Wave   ;Sample   ;Dark     ;Reference
[nm]   ;[counts] ;[counts] ;[counts] 

230,218;  296,640;  290,315;  293,845
230,311;  321,040;  319,885;  318,565
230,404;  308,240;  309,855;  312,875
230,497;  324,940;  317,385;  315,715
230,591;  335,840;  333,426;  335,355
230,684;  325,940;  326,486;  329,355
230,777;  311,940;  311,736;  314,765
230,870;  320,140;  313,326;  316,955
230,964;  313,440;  310,885;  314,745
231,057;  334,440;  342,496;  343,475
231,150;  322,440;  331,695;  332,715
231,243;  339,140;  330,635;  332,775
231,336;  332,940;  331,375;  331,335
231,430;  316,740;  316,496;  317,715
231,523;  321,040;  324,516;  326,785
231,616;  313,340;  305,445;  309,685
231,709;  344,740;  328,065;  330,025
231,802;  327,740;  300,945;  301,885
231,895;  307,240;  299,836;  300,315
231,988;  334,040;  315,655;  318,535
232,082;  311,240;  298,155;  302,425
232,175;  316,240;  302,155;  306,175
232,268;  326,040;  301,266;  305,345
232,361;  312,240;  304,806;  307,515
232,454;  335,240;  322,396;  323,025
232,547;  339,840;  318,716;  322,655
232,640;  307,140;  296,766;  294,035
232,733;  329,040;  314,116;  323,045
232,826;  304,140;  288,915;  295,035
232,919;  326,040;  313,826;  312,665
233,012;  313,240;  293,646;  292,775
233,105;  321,040;  294,766;  298,815
233,199;  317,840;  299,875;  304,045
233,292;  306,240;  293,475;  296,235
233,385;  276,440;  263,426;  262,225
233,478;  306,240;  293,885;  295,685
233,571;  335,640;  324,586;  327,675
233,664;  326,940;  305,996;  308,435
233,757;  298,540;  280,796;  281,395
233,850;  296,440;  282,255;  285,825
233,943;  306,640;  290,896;  292,195
234,035;  318,240;  300,576;  302,355
234,128;  288,440;  281,836;  283,945
234,221;  317,340;  297,665;  298,245
234,314;  328,540;  304,915;  311,975
234,407;  327,940;  302,935;  309,075
234,500;  300,540;  277,625;  281,875
234,593;  303,340;  287,095;  285,735
234,686;  301,040;  293,746;  293,765
234,779;  307,140;  291,266;  293,165
234,872;  299,240;  281,806;  281,565
234,965;  308,640;  292,806;  290,795
235,058;  284,740;  274,155;  276,215
235,150;  314,040;  285,776;  290,805
