,wavelength,intensity
0,200.0,16960000.0
1,200.1,17998402.458
2,200.2,19003003.073
3,200.3,19940000.0
4,200.4,20783096.944
5,200.5,21536019.797
6,200.6,22210000.0
7,200.7,22814024.581
8,200.8,23348102.923
9,200.9,23810000.0
10,201.0,24197841.77
11,201.1,24511198.139
12,201.2,24750000.0
13,201.3,24914978.711
14,201.4,25010067.485
15,201.5,25040000.0
16,201.6,25013354.497
17,201.7,24954087.476
18,201.8,24890000.0
19,201.9,24854195.893
20,202.0,24900990.018
21,202.1,25090000.0
22,202.2,25485417.487
23,202.3,26169730.228
24,202.4,27230000.0
25,202.5,28756206.36
26,202.6,30850000.0
27,202.7,33612890.53
28,202.8,37134152.102
29,202.9,41500000.0
30,203.0,46789345.27
31,203.1,53051881.991
32,203.2,60330000.0
33,203.3,68650098.76
34,203.4,77974616.232
35,203.5,88250000.0
36,203.6,99402481.912
37,203.7,111277430.861
38,203.8,123700000.0
39,203.9,136476640.258
40,204.0,149338993.658
41,204.1,162000000.0
42,204.2,174161327.427
43,204.3,185479557.468
44,204.4,195600000.0
45,204.5,204192864.849
46,204.6,211027961.653
47,204.7,215900000.0
48,204.8,218641287.25
49,204.9,219234521.846
50,205.0,217700000.0
51,205.1,214123467.632
52,205.2,208852469.483
53,205.3,202300000.0
54,205.4,194927805.185
55,205.5,187392637.26
56,205.6,180400000.0
57,205.7,174683830.146
58,205.8,171091796.293
59,205.9,170500000.0
60,206.0,173773911.269
61,206.1,181736473.866
62,206.2,195200000.0
63,206.3,214905709.965
64,206.4,241310456.393
65,206.5,274800000.0
66,206.6,315632878.501
67,206.7,363558737.6
68,206.8,418200000.0
69,206.9,479014627.884
70,207.0,544802741.355
71,207.1,614200000.0
72,207.2,685753054.408
73,207.3,757652519.199
74,207.4,828000000.0
75,207.5,894903923.419
76,207.6,956500000.0
77,207.7,1011046818.158
78,207.8,1057267193.869
79,207.9,1094000000.0
80,208.0,1120355897.21
81,208.1,1136532697.334
82,208.2,1143000000.0
83,208.3,1140344407.817
84,208.4,1129620535.314
85,208.5,1112000000.0
86,208.6,1088710915.967
87,208.7,1061207383.633
88,208.8,1031000000.0
89,208.9,999463780.169
90,209.0,967431411.637
91,209.1,935600000.0
92,209.2,904548778.173
93,209.3,874385488.339
94,209.4,845100000.0
95,209.5,816626292.326
96,209.6,788674783.156
97,209.7,760900000.0
98,209.8,732986793.266
99,209.9,704741304.962
100,210.0,676000000.0
101,210.1,646659867.946
102,210.2,616859996.995
103,210.3,586800000.0
104,210.4,556707068.285
105,210.5,526918707.059
106,210.6,497800000.0
107,210.7,469700747.802
108,210.8,442909619.215
109,210.9,417700000.0
110,211.0,394301051.617
111,211.1,372765038.305
112,211.2,353100000.0
113,211.3,335272823.509
114,211.4,319085783.122
115,211.5,304300000.0
116,211.6,290663209.903
117,211.7,277869606.985
118,211.8,265600000.0
119,211.9,253552114.658
120,212.0,241491344.494
121,212.1,229200000.0
122,212.2,216498701.836
123,212.3,203361311.335
124,212.4,189800000.0
125,212.5,175845151.729
126,212.6,161600000.0
127,212.7,147203132.065
128,212.8,132861700.685
129,212.9,118800000.0
130,213.0,105230241.797
131,213.1,92316308.455
132,213.2,80210000.0
133,213.3,69047752.598
134,213.4,58904546.976
135,213.5,49840000.0
136,213.6,41895784.847
137,213.7,35041799.936
138,213.8,29230000.0
139,213.9,24405774.682
140,214.0,20488253.278
141,214.1,17390000.0
142,214.2,15025190.501
143,214.3,13314446.21
144,214.4,12180000.0
145,214.5,11549389.24
146,214.6,11371369.288
147,214.7,11600000.0
148,214.8,12195030.316
149,214.9,13138965.525
150,215.0,14420000.0
151,215.1,16028267.272
152,215.2,17961657.5
153,215.3,20220000.0
154,215.4,22801900.596
155,215.5,25701071.142
156,215.6,28910000.0
157,215.7,32418204.418
158,215.8,36203317.192
159,215.9,40240000.0
160,216.0,44500837.286
161,216.1,48950104.536
162,216.2,53550000.0
163,216.3,58265483.476
164,216.4,63072560.961
165,216.5,67950000.0
166,216.6,72883154.735
167,216.7,77883725.694
168,216.8,82970000.0
169,216.9,88166712.397
170,217.0,93524388.114
171,217.1,99100000.0
172,217.2,104954069.751
173,217.3,111161314.443
174,217.4,117800000.0
175,217.5,124937797.669
176,217.6,132600000.0
177,217.7,140790933.989
178,217.8,149473443.121
179,217.9,158600000.0
180,218.0,168105718.597
181,218.1,177856278.334
182,218.2,187700000.0
183,218.3,197467673.106
184,218.4,206919962.061
185,218.5,215800000.0
186,218.6,223853218.61
187,218.7,230834243.793
188,218.8,236500000.0
189,218.9,240626859.86
190,219.0,243068988.694
191,219.1,243700000.0
192,219.2,242424527.136
193,219.3,239271282.912
194,219.4,234300000.0
195,219.5,227600957.521
196,219.6,219386620.397
197,219.7,209900000.0
198,219.8,199401272.409
199,219.9,188219272.536
200,220.0,176700000.0
201,220.1,165190249.14
202,220.2,154039993.164
203,220.3,143600000.0
204,220.4,134204397.699
205,220.5,126120754.808
206,220.6,119600000.0
207,220.7,114866234.14
208,220.8,112036246.864
209,220.9,111200000.0
210,221.0,112426962.038
211,221.1,115704628.108
212,221.2,121000000.0
213,221.3,128248139.931
214,221.4,137256351.816
215,221.5,147800000.0
216,221.6,159639737.499
217,221.7,172477372.033
218,221.8,186000000.0
219,221.9,199900317.482
220,222.0,213893419.309
221,222.1,227700000.0
222,222.2,241062696.278
223,222.3,253811913.692
224,222.4,265800000.0
225,222.5,276929031.667
226,222.6,287300000.0
227,222.7,297094301.861
228,222.8,306616041.497
229,222.9,316200000.0
230,223.0,326204180.699
231,223.1,337079475.863
232,223.2,349300000.0
233,223.3,363307493.863
234,223.4,379414203.198
235,223.5,397900000.0
236,223.6,418962140.146
237,223.7,442467415.048
238,223.8,468200000.0
239,223.9,495851352.958
240,224.0,524742062.533
241,224.1,554100000.0
242,224.2,583110225.799
243,224.3,610786557.04
244,224.4,636100000.0
245,224.5,658055891.992
246,224.6,675796894.489
247,224.7,688500000.0
248,224.8,695447687.711
249,224.9,696344383.52
250,225.0,691000000.0
251,225.1,679342246.052
252,225.2,661770015.877
253,225.3,638800000.0
254,225.4,611024068.823
255,225.5,579334812.235
256,225.6,544700000.001
257,225.7,508083700.882
258,225.8,470435179.631
259,225.9,432700000.001
260,226.0,395763349.876
261,226.1,360268913.688
262,226.2,326800000.0
263,226.3,295862899.617
264,226.4,267655832.288
265,226.5,242300000.0
266,226.6,219859125.731
267,226.7,200167016.421
268,226.8,183000000.0
269,226.9,168119115.977
270,227.0,155224250.176
271,227.1,144000000.0
272,227.2,134145891.842
273,227.3,125421168.059
274,227.4,117600000.0
275,227.5,110473431.957
276,227.6,103900000.0
277,227.7,97777238.668
278,227.8,92091184.61
279,227.9,86850000.0
280,228.0,82075651.287
281,228.1,77845322.014
282,228.2,74250000.0
283,228.3,71383859.889
284,228.4,69353823.631
285,228.5,68270000.0
286,228.6,68234094.342
287,228.7,69314198.278
288,228.8,71570000.0
289,228.9,75044207.189
290,229.0,79711605.48
291,229.1,85530000.0
292,229.2,92439817.643
293,229.3,100311972.393
294,229.4,109000000.0
295,229.5,118339114.829
296,229.6,128091245.689
297,229.7,138000000.0
298,229.8,147812611.927
299,229.9,157290822.627
300,230.0,166200000.0
301,230.1,174321548.572
302,230.2,181501019.359
303,230.3,187600000.0
304,230.4,192519712.303
305,230.5,196319914.752
306,230.6,199100000.0
307,230.7,200995898.513
308,230.8,202289692.004
309,230.9,203300000.0
310,231.0,204370767.72
311,231.1,205947243.157
312,231.2,208500000.0
313,231.3,212498808.385
314,231.4,218410224.255
315,231.5,226700000.0
316,231.6,237808072.812
317,231.7,252071119.081
318,231.8,269800000.0
319,231.9,291257789.255
320,232.0,316516410.528
321,232.1,345599999.999
322,232.2,378490399.796
323,232.3,415000275.839
324,232.4,454899999.999
325,232.5,497928634.128
326,232.6,543699999.999
327,232.7,591778253.602
328,232.8,641654127.877
329,232.9,692799999.999
330,233.0,744677825.841
331,233.1,796707876.057
332,233.2,848299999.999
333,233.3,898862294.882
334,233.4,947795849.372
335,233.5,994499999.999
336,233.6,1038402624.257
337,233.7,1079045763.489
338,233.8,1115999999.999
339,233.9,1148856837.714
340,234.0,1177291467.039
341,234.1,1201000000.0
342,234.2,1219725580.437
343,234.3,1233399479.462
344,234.4,1242000000.0
345,234.5,1245574173.868
346,234.6,1244443948.445
347,234.7,1239000000.0
348,234.8,1229681427.795
349,234.9,1217121023.055
350,235.0,1202000000.0
351,235.1,1184996411.251
352,235.2,1166775663.039
353,235.3,1148000000.0
354,235.4,1129332927.203
355,235.5,1111442991.456
356,235.6,1095000000.0
357,235.7,1080671879.938
358,235.8,1069119037.806
359,235.9,1061000000.0
360,236.0,1056942516.008
361,236.1,1057451227.691
362,236.2,1063000000.0
363,236.3,1074039537.51
364,236.4,1090927903.282
365,236.5,1113999999.999
366,236.6,1143566000.618
367,236.7,1179837159.18
368,236.8,1222999999.999
369,236.9,1273177941.496
370,237.0,1330241978.513
371,237.1,1393999999.999
372,237.2,1464166677.837
373,237.3,1540083815.651
374,237.4,1620999999.998
375,237.5,1706060835.62
376,237.6,1793999999.998
377,237.7,1883507654.637
378,237.8,1973511824.403
379,237.9,2062999999.998
380,238.0,2150913617.728
381,238.1,2236009896.294
382,238.2,2316999999.998
383,238.3,2392726763.33
384,238.4,2462559701.523
385,238.5,2525999999.999
386,238.6,2582586736.35
387,238.7,2632010556.864
388,238.8,2673999999.999
389,238.9,2708333698.669
390,239.0,2734990663.607
391,239.1,2754000000.0
392,239.2,2765411802.303
393,239.3,2769360122.039
394,239.4,2766000000.0
395,239.5,2755463536.564
396,239.6,2737791070.458
397,239.7,2713000000.001
398,239.8,2681141458.852
399,239.9,2642401522.056
400,240.0,2597000000.001
